title,projectName,projectFocus,projectDesc,projectImg,projectLink,class,classInfo
Who am I?,Dawg Coffee,"HTML, CSS","A simple, yet relaxing webpage providing information about a hole-in-the-wall coffee shop.",img/dawg-coffee.png,http://staff.washington.edu/trosane/dawg-coffee/index.html,Web Application Security,"Hands on assignments cover the main vulnerabilities to web applications, such as cross-site scripting, SQL injection and cross-site request forgery. Other topics touched upon include buffer overflows, crytography and remote file inclusion."
Projects,Police Shootings,"JavaScript, jQuery, Leaflet.js","An informative, interactive site that allows users to interact with a map and view data about police shootings in the United States.",img/police-shooting.png,http://staff.washington.edu/trosane/police-shooting/index.html,Client Side Web Development,"Introduction to client-side web development including markup, programming, protocols, libraries, frameworks, and techniques for creating effective, usable, dynamic, and responsive applications that meet user needs. Includes an introduction to web development roles within organizations, content management systems, and other tools to build and manage websites and applications."
About,Product Review,"JavaScript, Parse","This site is a mock review site that allows users to post their opinions on the product, rate it and upvote/downvote other reviews.",img/review.png,http://staff.washington.edu/trosane/CRUD/index.html,Introduction to Data Science,"Surveys the major topics within data science, including data ingestion, cloud computing, statistical inference, machine learning, information visualization, and data ethics. Includes programming in R and python."
Contact,Spotify Song Search,"Angular.js, Spotify API",A simplistic site that provides users a platform to easily search for songs in the Spotify library by searching through artists and albums.,img/spotify.png,http://staff.washington.edu/trosane/spotify-template/index.html,Introduction to Relational Databases,"Introduction to relational database management systems, focused on relational theory and the application of conceptual, logical, and physical database modeling. Key topics include the relational model, SQL, entity-relationship modeling, three-tier architectures, implementation of database applications, and related topics in information systems."
,Fifteen Puzzle,"JavaScript, jQuery","A web version of the classic fifteen puzzle, where users attempt to make a picture by moving one tile at a time.",img/fifteen.jpg,http://staff.washington.edu/trosane/cse154/HW8/fifteen.html,Data Structures & Algorithms,"Fundamental algorithms and data structures for implementation. Techniques for solving problems by programming. Linked lists, stacks, queues, directed graphs. Trees: representations, traversals. Searching (hashing, binary search trees, multiway trees). Garbage collection, memory management. Internal and external sorting."
